BehaviorSpace results (NetLogo 6.0.4);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TrabPratico1-AgentesRacionais.nlogo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
test4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/20/2019 18:57:56:085 +0100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-16;16;-16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[run number];1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8;9;9;10;10;11;11;12;12;13;13;14;14;15;15;16;16;17;17;18;18;19;19;20;20
mantemLixo?;true;;true;;true;;true;;true;;true;;true;;true;;true;;true;;false;;false;;false;;false;;false;;false;;false;;false;;false;;false;
[steps];100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[initial & final values];count comiloes;count patches with [ pcolor = red ] + count patches with [ pcolor = red ];count comiloes;count patches with [ pcolor = red ] + count patches with [ pcolor = red ];count comiloes;count patches with [ pcolor = red ] + count patches with [ pcolor = red ];count comiloes;count patches with [ pcolor = red ] + count patches with [ pcolor = red ];count comiloes;count patches with [ pcolor = red ] + count patches with [ pcolor = red ];count comiloes;count patches with [ pcolor = red ] + count patches with [ pcolor = red ];count comiloes;count patches with [ pcolor = red ] + count patches with [ pcolor = red ];count comiloes;count patches with [ pcolor = red ] + count patches with [ pcolor = red ];count comiloes;count patches with [ pcolor = red ] + count patches with [ pcolor = red ];count comiloes;count patches with [ pcolor = red ] + count patches with [ pcolor = red ];count comiloes;count patches with [ pcolor = red ] + count patches with [ pcolor = red ];count comiloes;count patches with [ pcolor = red ] + count patches with [ pcolor = red ];count comiloes;count patches with [ pcolor = red ] + count patches with [ pcolor = red ];count comiloes;count patches with [ pcolor = red ] + count patches with [ pcolor = red ];count comiloes;count patches with [ pcolor = red ] + count patches with [ pcolor = red ];count comiloes;count patches with [ pcolor = red ] + count patches with [ pcolor = red ];count comiloes;count patches with [ pcolor = red ] + count patches with [ pcolor = red ];count comiloes;count patches with [ pcolor = red ] + count patches with [ pcolor = red ];count comiloes;count patches with [ pcolor = red ] + count patches with [ pcolor = red ];count comiloes;count patches with [ pcolor = red ] + count patches with [ pcolor = red ]
;0;110;2;110;1;110;1;110;2;110;1;110;1;110;2;110;1;110;1;110;1;60;1;68;1;62;3;66;0;66;3;66;2;64;2;70;3;64;2;56
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;comiloes ;numero patches lixo e lixo toxico  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;true ;1,2;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;false;1,8;68,36363636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
