BehaviorSpace results (NetLogo 6.0.4);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TrabPratico1-AgentesRacionais.nlogo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
test1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/20/2019 20:12:54:796 +0100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-16;16;-16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[run number];1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8;9;9;10;10;11;11;12;12;13;13;14;14;15;15;16;16;17;17;18;18;19;19;20;20;21;21;22;22;23;23;24;24;25;25;26;26;27;27;28;28;29;29;30;30
nDepositos;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;
[steps];100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[initial & final values];count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles
;132;30;132;33;132;31;132;31;132;30;132;30;132;30;132;30;132;31;132;31;132;31;132;31;132;30;132;30;132;31;132;31;132;30;132;33;132;32;132;30;132;31;132;30;132;30;132;30;132;30;132;30;132;31;132;31;132;31;132;32
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Agentes  ;lixo e lixoToxico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;nDepositos=1 ;30,7;132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;nDepositos=5;30,88181818;132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;nDepositos=10;30,63181818;132;;! Com mantemLixo ligada!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
